card_id,customer_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
C02682,1425,Mastercard,Credit,4901********4921,2025-02-01,334,Yes,3,"15,000",2013-07-21,2023,No
C04971,2162,Visa,Debit,4668********1756,2029-05-01,786,Yes,3,"20,000",2022-12-16,2021,No
C00020,1345,Mastercard,Credit,5373********4581,2025-07-01,103,Yes,2,"5,000",2012-07-02,2018,No
C04329,516,American Express,Credit,5530********9791,2025-12-01,344,Yes,3,"25,000",2015-11-26,2018,Yes
C00793,808,Visa,Credit,4222********2714,2025-12-01,756,Yes,2,"10,000",2013-01-21,2020,No
C07223,2597,Mastercard,Debit,5520********5965,2025-12-01,608,No,2,"10,000",2019-09-10,2019,No
C03290,154,Mastercard,Credit,5014********9256,2030-03-01,513,Yes,1,"5,000",2011-11-11,2023,Yes
C02475,1892,Mastercard,Debit,4292********5421,2026-11-01,239,Yes,4,"10,000",2015-08-05,2019,No
C01973,1449,Visa,Credit,4999********9093,2028-09-01,900,No,2,"15,000",2023-02-20,2020,No
C04821,248,American Express,Credit,4196********3467,2027-03-01,392,Yes,2,"10,000",2019-05-14,2021,No
C01714,1342,American Express,Credit,4203********4026,2027-06-01,337,Yes,3,"15,000",2018-01-05,2020,No
C00909,2186,Mastercard,Debit,4817********5366,2026-10-01,143,No,2,"10,000",2019-03-28,2020,No
C01201,2508,Mastercard,Credit,5109********1177,2027-11-01,568,Yes,1,"5,000",2020-11-22,2021,No
C03553,2778,American Express,Credit,5882********8977,2027-08-01,684,Yes,2,"10,000",2023-08-24,2021,No
C07292,1148,Mastercard,Credit,4032********3777,2028-06-01,649,Yes,1,"10,000",2023-02-28,2020,No
C02908,2694,Visa,Credit,4529********4295,2029-11-01,627,Yes,3,"20,000",2017-07-12,2021,No
C10507,680,Mastercard,Credit,5515********3297,2027-05-01,282,Yes,3,"10,000",2016-05-27,2019,No
C11642,1220,Visa,Debit,5212********9264,2028-12-01,974,Yes,3,"10,000",2021-08-15,2020,No
C02679,2516,Visa,Debit,5904********7436,2028-10-01,427,Yes,2,"10,000",2015-07-24,2018,No
C04302,2285,American Express,Credit,5414********7332,2030-09-01,598,Yes,2,"25,000",2010-04-03,2022,No
C02644,2048,Visa,Credit,4035********1293,2027-02-01,979,Yes,3,"10,000",2014-12-24,2022,No
C08036,249,Visa,Debit,4264********8461,2027-03-01,991,Yes,3,"10,000",2014-03-03,2022,No
C04116,1165,Mastercard,Credit,4797********6340,2029-03-01,348,Yes,3,"25,000",2020-10-20,2023,No
C02120,908,Visa,Credit,5171********4812,2027-03-01,520,Yes,4,"5,000",2018-09-02,2022,No
C07763,1867,Visa,Debit,5829********2028,2027-06-01,466,Yes,3,"10,000",2015-11-16,2018,No
C11340,2759,Mastercard,Credit,5762********9018,2028-02-01,807,No,2,"10,000",2010-10-10,2019,No
C03361,1381,American Express,Credit,5293********9432,2025-06-01,197,Yes,2,"25,000",2016-10-18,2023,No
C08435,2588,Visa,Credit,4547********7783,2030-08-01,261,Yes,2,"25,000",2015-04-05,2022,No
C00430,2480,Visa,Credit,5359********3484,2025-02-01,314,Yes,1,"5,000",2010-06-10,2020,No
C06431,1043,Mastercard,Debit,4568********3164,2026-06-01,573,Yes,4,"10,000",2023-08-04,2021,No
C11187,2648,Visa,Credit,4970********7752,2026-03-01,429,No,2,"20,000",2013-09-12,2022,No
C00248,86,Mastercard,Credit,4667********1753,2026-10-01,126,Yes,1,"5,000",2018-11-05,2023,No
C04883,750,Visa,Credit,5165********1209,2029-10-01,430,Yes,3,"25,000",2017-09-04,2023,Yes
C08510,138,Mastercard,Credit,4908********3302,2025-05-01,250,No,2,"5,000",2010-01-18,2018,No
C05036,385,Visa,Credit,4783********7459,2027-07-01,386,Yes,1,"5,000",2015-11-04,2021,No
C00717,1117,American Express,Credit,5709********2485,2029-10-01,464,Yes,4,"5,000",2023-01-09,2022,No
C06822,2772,Visa,Credit,4424********3630,2025-01-01,377,Yes,4,"25,000",2014-05-12,2020,No
C05937,927,Visa,Debit,5328********3184,2027-04-01,774,No,3,"15,000",2011-10-15,2021,No
C03339,187,Visa,Credit,5018********5580,2027-08-01,598,Yes,1,"25,000",2020-12-01,2021,No
C00283,100,Mastercard,Credit,4837********3406,2027-02-01,390,No,3,"5,000",2012-10-28,2022,No
C05056,41,Visa,Credit,5523********9480,2026-07-01,488,No,1,"25,000",2017-04-02,2021,No
C09409,1468,Visa,Credit,4178********5300,2026-07-01,386,Yes,2,"15,000",2023-12-13,2019,No
C02575,2316,American Express,Debit,5104********5084,2028-01-01,382,Yes,2,"10,000",2011-02-08,2022,No
C11609,717,Visa,Credit,5303********8743,2030-08-01,878,Yes,4,"25,000",2021-09-22,2019,No
C03329,2185,Visa,Debit,4808********6159,2026-08-01,859,Yes,1,"15,000",2019-01-24,2020,No
C07699,1152,Mastercard,Credit,4558********7319,2028-04-01,550,Yes,3,"20,000",2014-10-16,2023,No
C05304,1748,Visa,Credit,4435********5627,2026-12-01,466,Yes,3,"5,000",2015-07-19,2019,No
C11968,580,Visa,Credit,5995********6122,2026-05-01,979,Yes,4,"20,000",2021-07-14,2022,No
C01826,1531,Mastercard,Credit,5400********8036,2027-03-01,461,Yes,1,"20,000",2013-10-18,2021,No
C03648,1041,Mastercard,Debit,4761********3362,2028-03-01,774,Yes,2,"25,000",2015-12-13,2020,No
C07946,875,Visa,Debit,4416********5982,2028-03-01,115,Yes,1,"5,000",2015-03-04,2022,Yes
C06332,2157,Mastercard,Credit,4118********8869,2026-11-01,408,Yes,4,"10,000",2022-11-14,2021,No
C05799,2733,American Express,Credit,4332********6399,2027-07-01,509,Yes,2,"10,000",2019-02-11,2023,No
C05869,2107,American Express,Credit,5835********7231,2027-03-01,537,Yes,4,"20,000",2013-07-07,2023,No
